flickr_id,download_id,file_name,MOS,ti,si,colorfulness,contrast,blur,vniqe
8536919744,1015445,8536919744_original_centercrop_960x540_8s.mp4,1.22,4.536384114,14.44270992,45.7339435,20.26139049,0.484240013,21.70818366
6408325533,964070,6408325533_original_centercrop_960x540_8s.mp4,1.26,53.25496547,52.82471085,61.87097236,54.19566145,0.420905995,11.16841147
5319047612,927528,5319047612_cut_centercrop_960x540_8s.mp4,1.3469,38.63496927,61.54506683,93.36608677,46.63794255,0.220413299,11.86315684
8724380666,1022436,8724380666_cut_centercrop_960x540_8s.mp4,1.4,9.642130363,19.7345314,9.658105217,32.16843037,0.441656581,16.81824539
4744073127,911499,4744073127_cut_centercrop_960x540_8s.mp4,1.42,8.540276678,88.6435318,95.45066496,63.61053415,0.135943313,8.074083046
8483400755,1013749,8483400755_original_centercrop_960x540_8s.mp4,1.46,6.363793606,9.877181053,12.00362109,8.918859013,0.833132184,12.9756494
10925288616,875323,10925288616_cut_centercrop_960x540_8s.mp4,1.46,5.473906409,155.8878479,63.0712968,63.4445872,0.604512616,17.89149224
6807638360,971644,6807638360_cut_centercrop_960x540_8s.mp4,1.46,9.441966866,31.42244911,106.2436456,22.57873449,0.441350049,16.42965661
6028497716,951123,6028497716_original_centercrop_960x540_8s.mp4,1.48,14.82145277,41.17734909,30.16875638,17.64548309,0.680185281,18.51999798
9369433766,1033093,9369433766_original_centercrop_960x540_8s.mp4,1.52,14.90982494,77.65647125,80.50371494,82.82900313,0.159775597,11.44367934
6184163826,957045,6184163826_original_centercrop_960x540_8s.mp4,1.52,26.05991941,57.66389847,99.3285119,42.30705822,0.298934639,9.235167777
3471567822,891213,3471567822_cut_centercrop_960x540_8s.mp4,1.52,4.679288827,49.86578751,50.31328537,23.23212048,0.152560301,16.227655
9445782126,1034624,9445782126_original_centercrop_960x540_8s.mp4,1.52,24.93042266,27.16403389,66.26626567,58.0596449,0.092446208,10.50181159
4265470174,902268,4265470174_cut_centercrop_960x540_8s.mp4,1.56,24.71040608,28.79007912,36.75958716,40.05742578,0.128167493,13.25054377
7074513729,979805,7074513729_original_centercrop_960x540_8s.mp4,1.56,42.63080552,72.9052124,24.62329397,40.82123778,0.222711094,11.51887613
